theta_deg,rate_Hz_per_0.02deg_bin
3.270000000000000462e+00,1.366152640150355212e-06
3.290000000000000036e+00,1.304913850412959101e-06
3.310000000000000497e+00,1.324613410766314449e-06
3.330000000000000071e+00,1.338350187022013969e-06
3.349999999999999645e+00,1.253308222787019710e-06
3.370000000000000107e+00,1.305757009170956941e-06
3.389999999999999680e+00,1.327429460365866057e-06
3.410000000000000142e+00,1.315353536698026244e-06
3.429999999999999716e+00,1.330072154334133934e-06
3.450000000000000178e+00,1.277814339151190824e-06
3.469999999999999751e+00,1.302948424130400674e-06
3.490000000000000213e+00,1.263105944097073354e-06
3.509999999999999787e+00,1.259472443018589470e-06
3.530000000000000249e+00,1.242945524253587012e-06
3.549999999999999822e+00,1.224935922013312379e-06
3.570000000000000284e+00,1.240636646264285695e-06
3.589999999999999858e+00,1.225107669710338881e-06
3.610000000000000320e+00,1.199672987336913368e-06
3.629999999999999893e+00,1.184647525077306770e-06
3.650000000000000355e+00,1.226597803841933395e-06
3.669999999999999929e+00,1.169962539441953391e-06
3.690000000000000391e+00,1.208930738917452398e-06
3.709999999999999964e+00,1.142405660520342984e-06
3.730000000000000426e+00,1.143239891997264074e-06
3.750000000000000000e+00,1.196051911912258524e-06
3.770000000000000462e+00,1.147378305823284460e-06
3.790000000000000036e+00,1.199677375770520157e-06
3.810000000000000497e+00,1.123797516141988801e-06
3.830000000000000071e+00,1.151838769509586937e-06
3.849999999999999645e+00,1.115561765383041707e-06
3.870000000000000107e+00,1.098585725083751385e-06
3.889999999999999680e+00,1.117715135878312670e-06
3.910000000000000142e+00,1.091345809331182344e-06
3.929999999999999716e+00,1.118380533817792484e-06
3.950000000000000178e+00,1.067794897301849492e-06
3.969999999999999751e+00,1.059233944112496195e-06
3.990000000000000213e+00,1.059572422106211687e-06
4.009999999999999787e+00,1.097957705142276659e-06
4.030000000000000249e+00,1.032082696720663837e-06
4.050000000000000711e+00,9.909276385345032021e-07
4.070000000000000284e+00,1.017450724791418856e-06
4.089999999999999858e+00,9.753227398990363339e-07
4.109999999999999432e+00,9.598642031156345756e-07
4.129999999999999893e+00,9.562638716758517983e-07
4.150000000000000355e+00,9.625335478440947284e-07
4.169999999999999929e+00,9.757112362987742791e-07
4.189999999999999503e+00,9.548350979429472469e-07
4.209999999999999964e+00,9.221229546498384591e-07
4.230000000000000426e+00,8.933670745295126799e-07
4.250000000000000000e+00,9.065429442092960729e-07
4.269999999999999574e+00,9.414132015883315375e-07
4.290000000000000036e+00,9.338691236453232531e-07
4.310000000000000497e+00,9.085768989086841585e-07
4.330000000000000071e+00,8.561833715236482421e-07
4.349999999999999645e+00,8.516099747448999367e-07
4.370000000000000107e+00,8.194430524971293982e-07
4.390000000000000568e+00,8.567515883541011000e-07
4.410000000000000142e+00,8.378943239649426920e-07
4.429999999999999716e+00,8.426832669042676663e-07
4.450000000000000178e+00,7.957636372510170340e-07
4.470000000000000639e+00,7.552576771561973144e-07
4.490000000000000213e+00,8.201126814582305711e-07
4.509999999999999787e+00,7.810933590719699249e-07
4.530000000000000249e+00,7.888370558814054639e-07
4.550000000000000711e+00,7.503263380545055909e-07
4.570000000000000284e+00,7.334747755149218366e-07
4.589999999999999858e+00,7.481050124617281994e-07
4.610000000000000320e+00,7.445336041007233955e-07
4.629999999999999893e+00,7.203136361317693458e-07
4.650000000000000355e+00,7.221575625662655066e-07
4.669999999999999929e+00,6.974560246954794065e-07
4.689999999999999503e+00,6.850496215245304580e-07
4.709999999999999964e+00,7.045824571549529176e-07
4.730000000000000426e+00,6.528780476540580001e-07
4.750000000000000000e+00,6.498158805004448678e-07
4.769999999999999574e+00,6.835848428132841625e-07
4.790000000000000036e+00,6.608786930577258209e-07
4.810000000000000497e+00,6.612541433761411953e-07
4.830000000000000071e+00,6.621161857755587526e-07
4.849999999999999645e+00,6.345152045388930679e-07
4.870000000000000107e+00,6.378364861665123416e-07
4.890000000000000568e+00,6.220218440278395108e-07
4.910000000000000142e+00,6.057243093023269839e-07
4.929999999999999716e+00,6.056135608596652041e-07
4.950000000000000178e+00,6.231525142165756628e-07
4.970000000000000639e+00,6.303908941910361408e-07
4.990000000000000213e+00,5.969486597848650314e-07
5.009999999999999787e+00,5.733164756034366735e-07
5.030000000000000249e+00,5.712491673088929899e-07
5.050000000000000711e+00,5.672230378489983531e-07
5.070000000000000284e+00,5.700546495418212234e-07
5.089999999999999858e+00,5.694595736431936261e-07
5.110000000000000320e+00,5.536847880352843979e-07
5.129999999999999893e+00,5.325327889755939338e-07
5.150000000000000355e+00,5.436869429676233782e-07
5.169999999999999929e+00,5.455394200901966876e-07
5.189999999999999503e+00,5.023885429096998254e-07
5.209999999999999964e+00,5.086480462756465416e-07
5.230000000000000426e+00,4.977934377874193372e-07
5.250000000000000000e+00,4.908501687245060368e-07
5.269999999999999574e+00,4.663139824602889169e-07
5.290000000000000036e+00,4.730658613870159258e-07
5.310000000000000497e+00,4.978910030506130829e-07
5.330000000000000071e+00,4.806944866929021923e-07
5.349999999999999645e+00,4.625299765370809524e-07
5.370000000000000107e+00,4.560899037514690179e-07
5.390000000000000568e+00,4.462347771096525545e-07
