theta_deg,rate_Hz_per_0.02deg_bin
2.389999999999999680e+00,2.073090973440258370e-06
2.410000000000000142e+00,2.051819307736969314e-06
2.429999999999999716e+00,2.070375644459218769e-06
2.450000000000000178e+00,2.001669399675936838e-06
2.469999999999999751e+00,2.040133703966624395e-06
2.490000000000000213e+00,1.925182588482835199e-06
2.509999999999999787e+00,2.002871611605689922e-06
2.530000000000000249e+00,1.903161841537900449e-06
2.549999999999999822e+00,1.887177705839347210e-06
2.570000000000000284e+00,2.007569260634695273e-06
2.589999999999999858e+00,1.928368144118858303e-06
2.610000000000000320e+00,1.953929634420047632e-06
2.629999999999999893e+00,1.951982426206843433e-06
2.650000000000000355e+00,1.911420198530097176e-06
2.669999999999999929e+00,1.859166676417934689e-06
2.690000000000000391e+00,1.912210927218067808e-06
2.709999999999999964e+00,1.903245973606600795e-06
2.730000000000000426e+00,1.849248327550361019e-06
2.750000000000000000e+00,1.867771526487068699e-06
2.770000000000000462e+00,1.801506616104920803e-06
2.790000000000000036e+00,1.874986150874066632e-06
2.810000000000000053e+00,1.809901791758563386e-06
2.830000000000000071e+00,1.819063088520774719e-06
2.849999999999999645e+00,1.806010936511057981e-06
2.870000000000000107e+00,1.809326608586119847e-06
2.889999999999999680e+00,1.814977456291338412e-06
2.910000000000000142e+00,1.701428205452909215e-06
2.929999999999999716e+00,1.758496440024711743e-06
2.950000000000000178e+00,1.732015818287677897e-06
2.969999999999999751e+00,1.770375174360923245e-06
2.990000000000000213e+00,1.752072801305237469e-06
3.009999999999999787e+00,1.706912082293423977e-06
3.030000000000000249e+00,1.725405377595499474e-06
3.049999999999999822e+00,1.641723370101801669e-06
3.070000000000000284e+00,1.675393113977459490e-06
3.089999999999999858e+00,1.680456032477382058e-06
3.110000000000000320e+00,1.582794645249776108e-06
3.129999999999999893e+00,1.633963699317117144e-06
3.150000000000000355e+00,1.648359406713684855e-06
3.169999999999999929e+00,1.611411352240603344e-06
3.190000000000000391e+00,1.604801510448397691e-06
3.209999999999999964e+00,1.655939066896145126e-06
3.230000000000000426e+00,1.533850822327917957e-06
3.250000000000000000e+00,1.587897929313733039e-06
3.270000000000000462e+00,1.604026713473379224e-06
3.290000000000000036e+00,1.532123863631994332e-06
3.310000000000000497e+00,1.555252281283591047e-06
