hcal_mask,S,Y,E,tracker_k,geometric_per_hour,no_roof_per_hour,concrete_per_hour,half_column_concrete_per_hour,double_column_concrete_per_hour,geometric_se_per_hour,no_roof_se_per_hour,concrete_se_per_hour,half_column_concrete_se_per_hour,double_column_concrete_se_per_hour
3,0,0,0,1,62.77774469124884,88.91799515170675,75.52926996682477,75.95769885057747,74.68420689096719,0.22877190223585567,0.32447204249278355,0.27547982866122117,0.27712093281161565,0.27223935005998895
3,0,0,0,2,388.39661493877514,549.6492775741012,467.0237229085318,469.6858974528807,461.7717548060314,0.12050488904328285,0.17104695825548058,0.14519171330908104,0.14596478090348433,0.14366301619285382
3,0,0,0,3,34.73276416859677,49.221151092657294,41.801855326049036,42.04243844229505,41.327405678049644,0.050325641022957356,0.07130519516094204,0.06056435018377872,0.060884062571876015,0.059933694239190885
3,0,0,0,4,186.38266285782996,264.50137661219577,224.5209961155147,225.8357261526455,221.92939746771017,0.018659356004764635,0.026418962710638292,0.02244372279145067,0.022570537529515874,0.022193653375406706
3,0,0,1,0,1183.3921457867257,1669.9259697535442,1419.5286155580984,1431.4792617330966,1396.17091148286,0.1129457772984167,0.15960159639507096,0.13560573807103804,0.13675082337726593,0.1333676012987361
3,0,0,1,1,4.518430269390663,6.384896358606454,5.424654577498938,5.471480209211343,5.33322102502882,0.006250063766468066,0.008824820870741205,0.007498644933546855,0.00756698740037289,0.007365371478364549
3,0,0,1,2,12.209168943720716,17.24310881992806,14.651974582960431,14.780779939008045,14.400549216264494,0.006480682551818033,0.00914318671521303,0.007770730553237176,0.007843499676639911,0.007628741975239104
3,0,0,1,3,3.1355527293864878,4.4298124149933,3.7637381476133314,3.7967533575187886,3.699291995953235,0.005347811500013131,0.0075599902573950575,0.006422200381885703,0.006477347478313887,0.006314442756581028
3,0,0,1,4,30.95803724747608,43.71999601801335,37.14908255819131,37.48179343342629,36.499904945914395,0.0025592501999660983,0.003617694536829884,0.0030733522490051183,0.0030995014116965707,0.0030222566594091454
3,0,1,0,0,137.52713384742617,194.2371033447225,165.14643679690334,166.11725514785326,163.2309012416029,0.03791616034740175,0.05393076634788622,0.045740744181795454,0.04602215067983223,0.04518666563557496
3,0,1,0,1,6.666535461322816,9.447018861381052,8.022906851575334,8.071310377253248,7.9275012039642405,0.013799810894736782,0.01961567770832716,0.016640896249346632,0.016741602333880664,0.01644255347633556
3,0,1,0,2,33.2760003934341,47.19657406903868,40.06914364265427,40.31416779690889,39.58636078998195,0.008612599790230971,0.012248249432272184,0.010389007091903428,0.010451749339086401,0.01026549230513354
3,0,1,0,3,2.355951338432316,3.347355244360271,2.8400995133690294,2.857690233722897,2.805454508586381,0.0034440301722245244,0.004898713759076016,0.004154811057469539,0.004180133801019798,0.004104931276149365
3,0,1,0,4,20.552842937951713,29.217427889981966,24.78466773483903,24.940842156155796,24.477135596184898,0.0021622489773274133,0.003074121608671454,0.0026077020090185363,0.0026237346757821568,0.002576127917557322
3,0,1,1,0,4.30963356562678,6.081808876729267,5.169209035401169,5.214888453694842,5.080038469063808,0.003424992854455166,0.00483353578250505,0.00410818568322383,0.004144555384073051,0.004037194378615046
3,0,1,1,1,0.9943502926938743,1.403448532286136,1.1927771955586088,1.2033792165162591,1.1720848084724906,0.0035457109884593045,0.0050039225396506775,0.004252938054208002,0.004290795637431584,0.004179051158974114
3,0,1,1,2,6.030942838651889,8.511898849974095,7.234118385848701,7.298947540346198,7.107613695864719,0.004423270981817471,0.006245237371971722,0.0053070196563374805,0.005354615463607941,0.00521414170314995
3,0,1,1,3,1.007184950141884,1.421574555269597,1.2081307259511895,1.2190376061870616,1.186851623504765,0.0053421460732548266,0.007536695450656268,0.006405811747103263,0.0064645342803660525,0.006291283157401904
3,0,1,1,4,13.926453674875038,19.655320964465222,16.703729596200763,16.856908101253836,16.404978578675895,0.0033631072603145192,0.004742732843461388,0.004031532756306414,0.004068898028355511,0.0039586584656363805
3,1,0,0,0,-1.6653345369377348e-16,9.992007221626409e-16,2.7755575615628914e-16,-1.1102230246251565e-16,-2.7755575615628914e-16,5.100643314345708e-16,5.017983495251565e-16,5.100643314345708e-16,5.087681048627601e-16,4.435932976799084e-16
3,1,0,0,1,-6.661338147750939e-16,-2.6645352591003757e-15,-1.1102230246251565e-15,4.440892098500626e-16,2.220446049250313e-16,1.4608731925326084e-15,1.384126098134394e-15,1.3815794058240985e-15,1.3739110057710613e-15,1.4018234061796284e-15
