id,hcal_mask,S,Y,E,tracker_mask,requirements,geometric_per_hour,no_roof_per_hour,concrete_per_hour,half_column_concrete_per_hour,double_column_concrete_per_hour,geometric_se_per_hour,no_roof_se_per_hour,concrete_se_per_hour,half_column_concrete_se_per_hour,double_column_concrete_se_per_hour,mean_column_g_cm2,mean_zenith_deg
758,6,0,1,1,11,H_M+H_B+Y+E+T1+T2+T4,13.926453674875038,19.44082879010196,16.557468310365632,16.78220922089453,16.121996628291036,0.0033631072603145192,0.004691774116978417,0.003996688350077965,0.004051106970675835,0.0038912367680005687,32.17339251939139,4.768154478435678
766,6,1,1,1,11,H_M+H_B+S+Y+E+T1+T2+T4,1.5502073697818837,2.1631872397267613,1.8423955253482642,1.8679203095059058,1.7929673465863871,0.000451611676261209,0.000630247932766985,0.0005367669984467608,0.000544205698154597,0.0005223629131004308,32.75063949595277,3.0514358838723883
774,6,0,0,0,12,H_M+H_B+T3+T4,286.13927347043324,400.3115923956159,340.9523070788366,344.83374273260836,333.3975915005038,0.022761405273094795,0.03206846299634713,0.027280340425346255,0.02751983059501431,0.026810412129364084,27.7754271649834,12.910027854029565
782,6,1,0,0,12,H_M+H_B+S+T3+T4,2.2203209349658426,3.099058978192001,2.639385638470692,2.6756229815913946,2.5691961320093686,0.0003455009080878303,0.0004820170035293328,0.000410535241940078,0.0004163051816768653,0.0003993685150999952,32.46906896712807,3.3747015551834103
790,6,0,1,0,12,H_M+H_B+Y+T3+T4,53.047678195270905,74.16217378454331,63.16258447865552,63.93441731454725,61.66289355429756,0.007708140984469753,0.010795300046256926,0.00919103132482496,0.009296914216046014,0.00898512399038737,29.4242363932411,10.035703568490579
798,6,1,1,0,12,H_M+H_B+S+Y+T3+T4,1.5731995236238026,2.195327508117533,1.8697635723194785,1.8956409761583504,1.8196513660653746,0.0004721608942220928,0.000659152524525482,0.0005613561721051886,0.0005690392357439232,0.0005464748839130278,32.71934238642679,3.1021327343865908
806,6,0,0,1,12,H_M+H_B+E+T3+T4,43.43878915374995,60.672112111937906,51.669179985713306,52.357444924519136,50.33508244749149,0.002795846683065244,0.00389550482493108,0.0033188239829131548,0.0033665050996407554,0.0032266199550029465,31.58750114628735,5.074062044421392
814,6,1,0,1,12,H_M+H_B+S+E+T3+T4,2.140963025208904,2.9880124612717665,2.5448444147494125,2.5799049012573514,2.4769397441550414,0.00045539032371073206,0.0006357072369770454,0.0005413945413269997,0.0005488189530196916,0.0005270154790531632,32.57635743244459,3.25302712317086
822,6,0,1,1,12,H_M+H_B+Y+E+T3+T4,20.9633099174927,29.26393226559896,24.924323295696095,25.260943333581306,24.27197108617289,0.003199590813166936,0.004467058671694964,0.0038048878042110067,0.0038551782071473326,0.0037073645583875687,32.063145987244745,5.558602091282035
830,6,1,1,1,12,H_M+H_B+S+Y+E+T3+T4,1.5502073697818837,2.1631872397267613,1.8423955253482642,1.8679203095059058,1.7929673465863871,0.000451611676261209,0.000630247932766985,0.0005367669984467608,0.000544205698154597,0.0005223629131004308,32.75063949595277,3.0514358838723883
