hcal_mask,S,Y,E,tracker_k,geometric_per_hour,no_roof_per_hour,concrete_per_hour,half_column_concrete_per_hour,double_column_concrete_per_hour,geometric_se_per_hour,no_roof_se_per_hour,concrete_se_per_hour,half_column_concrete_se_per_hour,double_column_concrete_se_per_hour
2,1,1,0,0,1.5731995236238026,2.2362642089740348,1.8969306373863355,1.9094586429070224,1.87228426151045,0.0004721608942220928,0.0006712274987479737,0.0005693576837713277,0.0005731083050598985,0.000561978692751261
2,1,1,0,1,1.5731995236238023,2.2362642089740348,1.8969306373863353,1.9094586429070217,1.87228426151045,0.00047216089422198705,0.0006712274987480477,0.0005693576837714027,0.0005731083050599069,0.000561978692750962
2,1,1,0,2,1.5731995236238028,2.2362642089740343,1.8969306373863355,1.9094586429070226,1.8722842615104498,0.0004721608942222163,0.0006712274987478723,0.0005693576837713455,0.0005731083050598997,0.0005619786927515682
2,1,1,0,3,1.5731995236238026,2.2362642089740348,1.8969306373863355,1.909458642907022,1.87228426151045,0.00047216089422207535,0.0006712274987480012,0.0005693576837712348,0.0005731083050598886,0.0005619786927512527
2,1,1,0,4,1.5731995236238026,2.2362642089740348,1.8969306373863355,1.9094586429070224,1.87228426151045,0.0004721608942220928,0.0006712274987479737,0.0005693576837713277,0.0005731083050598985,0.000561978692751261
2,1,1,1,0,1.5502073697818837,2.18695993699186,1.8586738511267125,1.8762333658337083,1.8244417663477144,0.000451611676261209,0.0006371839846415802,0.0005415152464170366,0.0005466307167675263,0.0005315444017107998
2,1,1,1,1,1.5502073697818834,2.1869599369918604,1.8586738511267122,1.8762333658337083,1.8244417663477137,0.0004516116762613403,0.0006371839846415221,0.0005415152464170979,0.0005466307167676389,0.0005315444017107452
2,1,1,1,2,1.5502073697818837,2.186959936991861,1.858673851126713,1.8762333658337083,1.8244417663477148,0.0004516116762611073,0.0006371839846416444,0.0005415152464170101,0.0005466307167674577,0.0005315444017108043
2,1,1,1,3,1.5502073697818837,2.18695993699186,1.8586738511267127,1.8762333658337083,1.8244417663477144,0.00045161167626117947,0.0006371839846415743,0.0005415152464170018,0.0005466307167674819,0.0005315444017108501
2,1,1,1,4,1.5502073697818837,2.18695993699186,1.8586738511267125,1.8762333658337083,1.8244417663477144,0.000451611676261209,0.0006371839846415802,0.0005415152464170366,0.0005466307167675263,0.0005315444017107998
3,0,0,0,0,11649.064606053069,16536.000897530976,14035.669916970966,14113.821365540765,13881.581779898888,3.4530646145074058,4.910572314033786,4.165505619007824,4.187415237716332,4.122284586737715
3,0,0,0,1,672.2897866564507,952.2898004306611,808.8758443169203,813.5217608983987,799.7127648427584,0.1360882181086534,0.19299456088693354,0.16385499114143573,0.1648934922425443,0.16180594427522063
3,0,0,0,2,609.5120419652019,863.3718052789543,733.3465743500956,737.5640620478212,725.0285579517913,0.11038496891363934,0.15658368656496385,0.13294092958387393,0.13366284122316516,0.13151369158211432
3,0,0,0,3,221.11542702642674,313.72252770485306,266.3228514415637,267.87816459494053,263.2568031457598,0.03414248919163638,0.04837966022035135,0.04109170842277996,0.04130327555805419,0.040674333113231244
3,0,0,0,4,186.38266285782996,264.50137661219577,224.5209961155147,225.8357261526455,221.92939746771017,0.018659356004764635,0.026418962710638292,0.02244372279145067,0.022570537529515874,0.022193653375406706
3,0,0,1,0,1234.2133349766996,1741.7037833650854,1480.5180654243625,1493.0100686722608,1456.103878666021,0.11394373128478327,0.1609981657802317,0.13679567943807458,0.13795316224407114,0.1345333734490828
3,0,0,1,1,50.82118918997395,71.77781361154115,60.989449866264,61.530806939164464,59.93296718316094,0.004704079756101772,0.006649939682045402,0.00564911001659141,0.005697602784890548,0.005554447040571145
3,0,0,1,2,46.30275892058327,65.39291725293472,55.56479528876507,56.05932672995311,54.59974615813213,0.00364756224580295,0.005142683652505948,0.00437140491956273,0.004413478944428073,0.0042894194208240284
3,0,0,1,3,34.093589976862575,48.14980843300664,40.912820705804634,41.278546790945086,40.19919694186763,0.003951842343934423,0.005582304739207033,0.004743030625405515,0.004785033253407453,0.00466097137753127
3,0,0,1,4,30.95803724747608,43.71999601801335,37.14908255819131,37.48179343342629,36.499904945914395,0.0025592501999660983,0.003617694536829884,0.0030733522490051183,0.0030995014116965707,0.0030222566594091454
3,0,1,0,0,200.37846397856708,283.44547940948445,240.863254539341,242.30126571189405,238.02735334032036,0.03315420089369616,0.047132068806868134,0.03998198366923625,0.040226221058603816,0.039501210612511724
3,0,1,0,1,62.85133013114095,89.20837606476198,75.71681774243767,76.18401056404082,74.79645209871748,0.008153394774083311,0.01158621046570672,0.009830279089411243,0.009888801351393627,0.009714927940230563
3,0,1,0,2,56.18479466981813,79.76135720338091,67.69391089086234,68.11270018678758,66.86895089475324,0.007317734058581075,0.010403950930482509,0.00882549459621973,0.008878944843873872,0.008720250850500854
3,0,1,0,3,22.908794276384036,32.56478313434224,27.624767248208066,27.79853238987869,27.28259010477128,0.001761894172602311,0.0025085623881035135,0.0021269051976488505,0.0021396744413714726,0.002101776310116015
