theta_deg,rate_Hz_per_0.02deg_bin
4.429999999999999716e+00,8.592570513393602852e-07
4.450000000000000178e+00,8.105496245849640516e-07
4.470000000000000639e+00,7.664817562332126110e-07
4.490000000000000213e+00,8.362870194836069684e-07
4.509999999999999787e+00,7.985866577314015705e-07
4.530000000000000249e+00,7.978755636243430026e-07
4.550000000000000711e+00,7.682793119438041686e-07
4.570000000000000284e+00,7.340735162442244312e-07
4.589999999999999858e+00,7.402986356475417095e-07
4.610000000000000320e+00,7.395936839170109315e-07
4.629999999999999893e+00,7.088709270572804924e-07
4.650000000000000355e+00,7.231792059589541329e-07
4.669999999999999929e+00,6.970840043604880753e-07
4.689999999999999503e+00,6.796540025233450634e-07
4.709999999999999964e+00,7.141448189252186625e-07
4.730000000000000426e+00,6.505770416092623346e-07
4.750000000000000000e+00,6.504622572632428555e-07
4.769999999999999574e+00,6.791725970487689908e-07
4.790000000000000036e+00,6.819344004793429780e-07
4.810000000000000497e+00,6.725925085789470806e-07
4.830000000000000071e+00,6.736226532048574674e-07
4.849999999999999645e+00,6.446929693924745769e-07
4.870000000000000107e+00,6.428492996561614981e-07
4.890000000000000568e+00,6.340921310618816164e-07
4.910000000000000142e+00,6.167024363959539212e-07
4.929999999999999716e+00,6.085289203623222178e-07
4.950000000000000178e+00,6.348943175448219471e-07
4.970000000000000639e+00,6.520416032939379017e-07
4.990000000000000213e+00,6.266045698921368329e-07
5.009999999999999787e+00,5.994486792683302010e-07
5.030000000000000249e+00,5.907080132348498029e-07
5.050000000000000711e+00,6.066979708420139539e-07
5.070000000000000284e+00,5.904839572839049413e-07
5.089999999999999858e+00,5.886489862734799342e-07
5.110000000000000320e+00,5.810641075656245266e-07
5.129999999999999893e+00,5.619905297084952344e-07
5.150000000000000355e+00,5.607334952657082449e-07
5.169999999999999929e+00,5.657944852351865888e-07
5.189999999999999503e+00,5.283570126753367366e-07
5.209999999999999964e+00,5.322730826524695296e-07
5.230000000000000426e+00,5.344677840009984955e-07
5.250000000000000000e+00,5.280470788559716415e-07
5.269999999999999574e+00,4.963799393245969938e-07
5.290000000000000036e+00,4.968578408698214322e-07
5.310000000000000497e+00,5.306022843714561082e-07
5.330000000000000071e+00,5.058359090566524402e-07
5.349999999999999645e+00,4.822278721411872708e-07
5.370000000000000107e+00,4.809855246507542742e-07
5.390000000000000568e+00,4.717175588436118611e-07
5.410000000000000142e+00,4.486996913784212123e-07
5.429999999999999716e+00,4.319935940961822917e-07
5.450000000000000178e+00,4.634091186508336157e-07
5.470000000000000639e+00,4.421255735693591201e-07
5.490000000000000213e+00,4.723831406493203766e-07
5.509999999999999787e+00,4.333569543203613859e-07
5.530000000000000249e+00,4.395637980774010366e-07
5.550000000000000711e+00,4.411892983596993602e-07
5.570000000000000284e+00,3.924682254953908057e-07
5.589999999999999858e+00,4.015390800935453448e-07
5.610000000000000320e+00,4.243302419063628565e-07
5.629999999999999893e+00,4.059435535165278563e-07
5.650000000000000355e+00,4.070019071214970434e-07
5.669999999999999929e+00,3.931975471655853022e-07
5.689999999999999503e+00,3.902585639280131918e-07
5.709999999999999964e+00,3.421906359415994075e-07
5.730000000000000426e+00,3.718156655265435276e-07
5.750000000000000000e+00,3.506085610994993279e-07
5.769999999999999574e+00,3.893553451318800542e-07
5.790000000000000036e+00,3.573073322085218541e-07
5.810000000000000497e+00,3.532348805023284567e-07
5.830000000000000071e+00,3.406071076685011841e-07
5.849999999999999645e+00,3.496586811460815276e-07
5.870000000000000107e+00,3.279103515424940356e-07
5.890000000000000568e+00,3.073132882256613623e-07
5.910000000000000142e+00,3.209269286041140385e-07
5.929999999999999716e+00,2.969212039415068308e-07
5.950000000000000178e+00,2.843189160217742320e-07
5.970000000000000639e+00,3.059011160275186492e-07
5.990000000000000213e+00,2.597017435725027390e-07
6.009999999999999787e+00,2.778639675657439648e-07
6.030000000000000249e+00,2.715396870010886865e-07
6.050000000000000711e+00,2.521278701040555337e-07
6.070000000000000284e+00,2.412607559683877979e-07
6.089999999999999858e+00,2.457563089640623009e-07
6.110000000000000320e+00,2.456998882637837421e-07
6.130000000000000782e+00,2.399578391594804572e-07
6.150000000000000355e+00,2.336488810258435791e-07
6.169999999999999929e+00,2.125675133787697694e-07
6.189999999999999503e+00,1.949023361672235821e-07
6.209999999999999964e+00,1.976970732079418771e-07
6.230000000000000426e+00,2.050338913602203053e-07
6.250000000000000000e+00,1.907909147037761806e-07
6.269999999999999574e+00,1.822319324650587331e-07
6.290000000000000036e+00,1.742419483625786497e-07
6.310000000000000497e+00,1.492344138451584773e-07
6.330000000000000071e+00,1.633811911175542272e-07
6.349999999999999645e+00,1.434917283501288952e-07
6.370000000000000107e+00,1.394877312322066594e-07
6.390000000000000568e+00,1.230152422084458858e-07
6.410000000000000142e+00,1.450894070408221214e-07
6.429999999999999716e+00,1.257901435217927891e-07
6.450000000000000178e+00,1.178282561586968010e-07
6.470000000000000639e+00,1.019418119466537527e-07
6.490000000000000213e+00,1.002201998134897682e-07
6.509999999999999787e+00,8.717479261600108249e-08
6.530000000000000249e+00,9.224738742347320187e-08
6.550000000000000711e+00,8.656644320940205716e-08
6.570000000000000284e+00,7.636275797788548107e-08
6.589999999999999858e+00,7.068976104701260459e-08
6.610000000000000320e+00,6.106054440043712226e-08
6.630000000000000782e+00,5.708815381894759180e-08
6.650000000000000355e+00,5.876962625711137460e-08
6.669999999999999929e+00,5.875548114346781696e-08
6.689999999999999503e+00,5.252717819492532471e-08
