ray,material,entry_mm,length_mm,path
5,Aluminum3003,1220.77562886,0.500911522267,World/hcal_above_ecal/hcal_above_ecal_cover_2_placement
5,Aluminum3003,1246.22193419,0.500911522267,World/hcal_above_ecal/hcal_above_ecal_cover_3_placement
5,Aluminum3003,1271.66823953,0.500911522267,World/hcal_above_ecal/hcal_above_ecal_cover_4_placement
5,Scintillator,1701.59216472,20.0364608907,World/hcal_below_ecal/hcal_below_ecal_layer1_strip4
5,Scintillator,1725.15946483,20.0364608907,World/hcal_below_ecal/hcal_below_ecal_layer2_strip7
5,Scintillator,1748.72676495,20.0364608907,World/hcal_below_ecal/hcal_below_ecal_layer3_strip4
5,Scintillator,1772.29406507,20.0364608907,World/hcal_below_ecal/hcal_below_ecal_layer4_strip7
5,Aluminum3003,1701.09125319,0.500911522267,World/hcal_below_ecal/hcal_below_ecal_cover_1_placement
5,Aluminum3003,1724.65855331,0.500911522267,World/hcal_below_ecal/hcal_below_ecal_cover_2_placement
5,Aluminum3003,1748.22585343,0.500911522267,World/hcal_below_ecal/hcal_below_ecal_cover_3_placement
5,Aluminum3003,1771.79315354,0.500911522267,World/hcal_below_ecal/hcal_below_ecal_cover_4_placement
6,Polyvinyltoluene,856.758391335,0.231771678705,World/native_target/trigger_pad3_bar_volume_18
6,Polyvinyltoluene,860.769376415,2.00549253986,World/native_target/trigger_pad3_bar_volume_19
6,LYSO,935.473973525,0.601647761959,World/native_target/lvTarget_3/lvTargetArray1_phys/target_0
6,LYSO,936.276170541,0.601647761959,World/native_target/lvTarget_3/lvTargetArray2_phys/target_0
6,Polyvinyltoluene,551.12132826,2.00549253986,World/native_trig_scint/trigger_pad1_bar_volume_4
6,Polyvinyltoluene,555.13231334,2.00549253986,World/native_trig_scint/trigger_pad1_bar_volume_5
6,Polyvinyltoluene,626.527847759,2.00549253986,World/native_trig_scint/trigger_pad2_bar_volume_8
6,Polyvinyltoluene,630.538832839,2.00549253986,World/native_trig_scint/trigger_pad2_bar_volume_9
