theta_deg,rate_Hz_per_0.02deg_bin
3.910000000000000142e+00,2.171813055946546330e-06
3.929999999999999716e+00,2.174463762436941250e-06
3.950000000000000178e+00,2.094062505564330440e-06
3.969999999999999751e+00,2.132800536563332363e-06
3.990000000000000213e+00,2.103328797589912290e-06
4.009999999999999787e+00,2.078806840583848524e-06
4.030000000000000249e+00,2.043910842329357935e-06
4.050000000000000711e+00,2.032736929726511653e-06
4.070000000000000284e+00,2.013663387388121664e-06
4.089999999999999858e+00,1.969904041048552906e-06
4.109999999999999432e+00,1.939976383766909182e-06
4.129999999999999893e+00,1.910553302796133658e-06
4.150000000000000355e+00,1.932471598753094683e-06
4.169999999999999929e+00,1.959810067175202044e-06
4.189999999999999503e+00,1.940264483909515068e-06
4.209999999999999964e+00,1.888650289341607333e-06
4.230000000000000426e+00,1.839022729844572593e-06
4.250000000000000000e+00,1.849584572411315795e-06
4.269999999999999574e+00,1.841402830375837578e-06
4.290000000000000036e+00,1.863793430500113177e-06
4.310000000000000497e+00,1.837860078489519649e-06
4.330000000000000071e+00,1.782852492145966799e-06
4.349999999999999645e+00,1.754968076751886537e-06
4.370000000000000107e+00,1.722161115105463945e-06
4.390000000000000568e+00,1.778045984555328042e-06
4.410000000000000142e+00,1.689582793448275498e-06
4.429999999999999716e+00,1.740034491306668632e-06
4.450000000000000178e+00,1.652589186337249360e-06
4.470000000000000639e+00,1.608493089433123688e-06
4.490000000000000213e+00,1.649576190589042251e-06
4.509999999999999787e+00,1.610913784401434886e-06
4.530000000000000249e+00,1.621468772249620681e-06
4.550000000000000711e+00,1.532141102735389274e-06
4.570000000000000284e+00,1.511222691497027363e-06
4.589999999999999858e+00,1.510472938277237552e-06
4.610000000000000320e+00,1.516116998700301445e-06
4.629999999999999893e+00,1.477012600558702479e-06
4.650000000000000355e+00,1.390730747552227917e-06
4.669999999999999929e+00,1.354606397112005216e-06
4.689999999999999503e+00,1.344052991133352227e-06
4.709999999999999964e+00,1.360030594640647143e-06
4.730000000000000426e+00,1.282667688876357984e-06
4.750000000000000000e+00,1.250516675112683294e-06
4.769999999999999574e+00,1.236051641952379842e-06
4.790000000000000036e+00,1.244672499759183349e-06
4.810000000000000497e+00,1.218926328017067811e-06
4.830000000000000071e+00,1.159317731769495666e-06
4.849999999999999645e+00,1.121321717472901531e-06
4.870000000000000107e+00,1.091191180174804106e-06
4.890000000000000568e+00,1.031634593335408760e-06
4.910000000000000142e+00,9.927017472469513172e-07
4.929999999999999716e+00,9.640781257420148003e-07
4.950000000000000178e+00,9.452702549928844652e-07
4.970000000000000639e+00,9.088232444959362252e-07
4.990000000000000213e+00,8.336692865617910328e-07
5.009999999999999787e+00,8.300830715341379195e-07
5.030000000000000249e+00,7.598695128846330218e-07
5.050000000000000711e+00,7.376860634278763598e-07
5.070000000000000284e+00,6.924912325319133955e-07
5.089999999999999858e+00,6.649406634761843405e-07
5.110000000000000320e+00,6.241811363993464542e-07
5.129999999999999893e+00,5.809908268533355028e-07
5.150000000000000355e+00,5.495603261913312667e-07
5.169999999999999929e+00,4.966139802087491881e-07
5.189999999999999503e+00,4.500464390510314418e-07
5.209999999999999964e+00,4.088757974074985440e-07
5.230000000000000426e+00,4.097745758690450788e-07
5.250000000000000000e+00,3.451601147267778186e-07
5.269999999999999574e+00,3.157647807333080719e-07
5.290000000000000036e+00,2.839372004811975058e-07
5.310000000000000497e+00,2.809496781983813443e-07
