71,869007451000000000,1,40,36,1
72,870055963000000000,1,36,36,1
73,870842395000000000,1,44,264,1
74,872153115000000000,1,60,48,1
75,872153123000000000,1,220,36,1
76,872153181000000000,1,84,36,1
77,874774565000000000,1,248,264,1
78,880017445000000000,1,212,264,1
79,1128529941000000000,1,4,72,1
80,1131937806000000000,1,24,60,1
81,1134034959000000000,1,228,212,1
82,1137442907000000000,1,4,36,1
83,1140326521000000000,1,188,36,1
84,1143210020000000000,1,216,264,1
85,1152909352000000000,1,236,44,1
86,1360054317000000000,1,10,42292,1
87,1360257105000000000,1,9,25956,1
88,1363148533000000000,1,8,25748,1
89,1365320366000000000,1,10,42164,1
90,1366025462000000000,1,9,42180,1
91,1366994095000000000,1,10,107908,1
92,1369502982000000000,1,9,25956,1
93,1369976539000000000,1,9,33972,1
94,1373920857000000000,1,10,124292,1
95,1389101070000000000,1,76,40,1
96,1393295389000000000,1,84,32,1
97,1394343949000000000,1,236,36,1
98,1394868248000000000,1,12,264,1
99,1395130394000000000,1,40,264,1
100,1395916814000000000,1,244,232,1
101,1396179067000000000,1,92,36,1
102,1397227545000000000,1,140,104,1
103,1398014058000000000,1,180,264,1
104,1398800411000000000,1,12,264,1
105,1399324713000000000,1,252,40,1
106,1399586934000000000,1,60,264,1
107,1400373273000000000,1,244,104,1
108,1400373341000000000,1,52,40,1
109,1402732579000000000,1,104,264,1
110,1403256846000000000,1,168,36,1
111,1403519014000000000,1,188,40,1
112,1404829729000000000,1,124,264,1
113,1405616152000000000,1,24,64,1
114,1406402586000000000,1,172,264,1
115,1406926862000000000,1,28,36,1
116,1407975449000000000,1,124,80,1
117,1411645454000000000,1,124,36,1
118,1416888353000000000,1,180,264,1
119,1421344781000000000,1,124,36,1
120,1504706584000000000,1,160,264,1
121,1610350606000000000,1,200,36,1
122,1615949573000000000,1,146,5296,1
123,1615964314000000000,1,182,5296,1
124,1652293646000000000,1,252,44,1
125,1656487949000000000,1,36,56,1
126,1659109409000000000,1,164,36,1
127,1660682252000000000,1,232,164,1
128,1660682264000000000,1,28,44,1
129,1665925147000000000,1,164,264,1
130,1668546588000000000,1,200,264,1
131,1670119551000000000,1,20,32,1
132,1671692323000000000,1,216,264,1
133,1674313759000000000,1,112,264,1
134,1674838109000000000,1,36,40,1
135,1682702350000000000,1,212,36,1
136,1689518112000000000,1,100,264,1
137,1758986254000000000,1,52,192,1
1,0,6,0;1;2;3;4;20,1669920,1
2,0,6,0;1;2;3;4;20,2237920,1
